Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Age,Gender,Device,kategori,duration_days,Country_Australia,Country_Brazil,Country_Canada,Country_France,Country_Germany,Country_Italy,Country_Mexico,Country_Spain,Country_United Kingdom,Country_United States,Plan Duration_1 Month
0,10,2023-03-29,2023-06-28,40,0,1,1,91,0,0,0,0,1,0,0,0,0,0,1
1,15,2022-01-30,2023-06-27,29,1,3,1,513,0,0,0,1,0,0,0,0,0,0,1
0,10,2022-09-18,2023-06-25,47,0,4,1,280,0,1,0,0,0,0,0,0,0,0,1
2,12,2021-09-11,2023-06-24,33,1,2,1,651,0,0,0,0,0,0,1,0,0,0,1
1,15,2022-12-23,2023-06-23,36,0,1,1,182,0,0,0,0,0,0,0,1,0,0,1
0,10,2023-08-05,2023-06-22,41,1,3,1,-44,0,0,0,0,0,1,0,0,0,0,1
0,10,2022-01-26,2023-06-20,27,1,3,1,510,0,0,0,0,0,0,0,0,0,1,1
0,10,2022-11-10,2023-06-22,31,0,3,1,224,0,0,1,0,0,0,0,0,0,0,1
2,12,2022-09-27,2023-06-26,28,0,1,1,272,0,0,0,0,0,0,0,0,1,0,1
1,13,2022-12-14,2023-06-25,41,0,3,1,193,1,0,0,0,0,0,0,0,0,0,1
0,13,2022-05-28,2023-06-26,28,0,1,1,394,0,0,0,0,1,0,0,0,0,0,1
0,13,2021-12-29,2023-06-26,51,0,1,2,544,0,0,0,1,0,0,0,0,0,0,1
1,15,2022-12-25,2023-06-23,45,0,3,1,180,0,1,0,0,0,0,0,0,0,0,1
2,15,2022-11-18,2023-06-28,49,1,2,2,222,0,0,0,0,0,0,1,0,0,0,1
2,15,2022-03-12,2023-06-25,43,0,1,1,470,0,0,0,0,0,0,0,1,0,0,1
0,12,2022-08-11,2023-06-22,43,1,2,1,315,0,0,0,0,0,1,0,0,0,0,1
1,10,2023-11-01,2023-06-24,37,1,2,1,-130,0,0,0,0,0,0,0,0,0,1,1
2,12,2022-07-12,2023-06-28,35,1,1,1,351,0,0,1,0,0,0,0,0,0,0,1
0,10,2022-10-20,2023-06-26,46,0,3,1,249,0,0,0,0,0,0,0,0,1,0,1
2,12,2023-04-13,2023-06-25,32,1,3,1,73,1,0,0,0,0,0,0,0,0,0,1
1,10,2023-06-04,2023-06-27,37,0,1,1,23,0,0,0,0,1,0,0,0,0,0,1
0,11,2022-04-03,2023-06-25,29,0,3,1,448,0,0,0,1,0,0,0,0,0,0,1
1,15,2021-12-28,2023-06-23,45,1,4,1,542,0,1,0,0,0,0,0,0,0,0,1
2,12,2022-09-27,2023-06-28,47,1,2,1,274,0,0,0,0,0,0,1,0,0,0,1
0,15,2022-10-20,2023-06-26,39,1,3,1,249,0,0,0,0,0,0,0,1,0,0,1
2,13,2023-03-02,2023-06-23,49,0,3,2,113,0,0,0,0,0,1,0,0,0,0,1
1,11,2022-03-10,2023-06-23,39,1,2,1,470,0,0,0,0,0,0,0,0,0,1,1
0,14,2022-05-01,2023-06-28,39,1,4,1,423,0,0,1,0,0,0,0,0,0,0,1
2,12,2022-05-02,2023-06-26,35,1,3,1,420,0,0,0,0,0,0,0,0,1,0,1
1,12,2022-03-19,2023-06-25,44,1,3,1,463,1,0,0,0,0,0,0,0,0,0,1
0,11,2022-02-28,2023-06-25,34,1,1,1,482,0,0,0,0,1,0,0,0,0,0,1
1,14,2022-07-26,2023-06-24,32,1,1,1,333,0,0,0,1,0,0,0,0,0,0,1
0,10,2022-05-03,2023-06-24,29,0,2,1,417,0,1,0,0,0,0,0,0,0,0,1
2,13,2022-07-03,2023-06-28,31,0,2,1,360,0,0,0,0,0,0,1,0,0,0,1
2,12,2023-01-13,2023-06-24,29,0,2,1,162,0,0,0,0,0,0,0,1,0,0,1
0,12,2023-01-22,2023-06-25,35,1,1,1,154,0,0,0,0,0,1,0,0,0,0,1
1,11,2022-10-17,2023-06-24,46,0,2,1,250,0,0,0,0,0,0,0,0,0,1,1
0,12,2022-03-29,2023-06-28,31,1,2,1,456,0,0,1,0,0,0,0,0,0,0,1
2,13,2022-04-04,2023-06-26,36,1,1,1,448,0,0,0,0,0,0,0,0,1,0,1
1,10,2022-08-06,2023-06-25,38,1,1,1,323,1,0,0,0,0,0,0,0,0,0,1
0,11,2022-04-03,2023-06-27,46,0,1,1,450,0,0,0,0,1,0,0,0,0,0,1
1,10,2022-03-18,2023-06-24,49,0,2,2,463,0,0,0,1,0,0,0,0,0,0,1
0,14,2022-07-03,2023-06-24,29,0,4,1,356,0,1,0,0,0,0,0,0,0,0,1
2,12,2022-05-24,2023-06-25,27,0,4,1,397,0,0,0,0,0,0,1,0,0,0,1
2,13,2023-08-02,2023-06-25,35,0,2,1,-38,0,0,0,0,0,0,0,1,0,0,1
0,13,2023-01-26,2023-06-24,37,0,1,1,149,0,0,0,0,0,1,0,0,0,0,1
1,14,2022-07-14,2023-06-27,40,1,2,1,348,0,0,0,0,0,0,0,0,0,1,1
0,10,2022-01-06,2023-06-28,33,0,1,1,538,0,0,1,0,0,0,0,0,0,0,1
2,15,2022-07-05,2023-06-26,37,1,2,1,356,0,0,0,0,0,0,0,0,1,0,1
1,10,2022-11-18,2023-06-25,48,1,3,1,219,1,0,0,0,0,0,0,0,0,0,1
0,11,2022-05-04,2023-06-25,50,0,1,2,417,0,0,0,0,1,0,0,0,0,0,1
1,14,2022-05-19,2023-06-23,45,0,4,1,400,0,0,0,1,0,0,0,0,0,0,1
0,15,2021-10-30,2023-06-23,40,0,2,1,601,0,1,0,0,0,0,0,0,0,0,1
2,12,2022-07-08,2023-06-27,33,1,3,1,354,0,0,0,0,0,0,1,0,0,0,1
2,11,2022-09-20,2023-06-25,44,0,3,1,278,0,0,0,0,0,0,0,1,0,0,1
0,10,2022-10-18,2023-06-25,30,0,4,1,250,0,0,0,0,0,1,0,0,0,0,1
1,15,2022-03-10,2023-06-24,27,1,4,1,471,0,0,0,0,0,0,0,0,0,1,1
0,11,2022-03-05,2023-06-28,51,1,4,2,480,0,0,1,0,0,0,0,0,0,0,1
2,13,2022-05-25,2023-06-26,49,0,3,2,397,0,0,0,0,0,0,0,0,1,0,1
1,15,2022-05-11,2023-06-25,43,1,1,1,410,1,0,0,0,0,0,0,0,0,0,1
0,12,2022-08-21,2023-06-24,42,1,3,1,307,0,0,0,0,1,0,0,0,0,0,1
1,13,2022-09-21,2023-06-23,45,1,1,1,275,0,0,0,1,0,0,0,0,0,0,1
0,10,2021-11-23,2023-06-23,36,1,3,1,577,0,1,0,0,0,0,0,0,0,0,1
2,12,2022-06-10,2023-06-27,48,1,3,1,382,0,0,0,0,0,0,1,0,0,0,1
2,13,2022-05-11,2023-06-23,38,1,4,1,408,0,0,0,0,0,0,0,1,0,0,1
0,14,2023-07-01,2023-06-23,43,0,2,1,-8,0,0,0,0,0,1,0,0,0,0,1
1,15,2022-06-10,2023-06-23,47,1,1,1,378,0,0,0,0,0,0,0,0,0,1,1
0,15,2022-06-24,2023-06-28,48,0,4,1,369,0,0,1,0,0,0,0,0,0,0,1
2,13,2022-06-24,2023-06-26,47,1,4,1,367,0,0,0,0,0,0,0,0,1,0,1
1,15,2022-05-11,2023-06-25,32,1,2,1,410,1,0,0,0,0,0,0,0,0,0,1
0,13,2022-07-18,2023-06-26,47,0,4,1,343,0,0,0,0,1,0,0,0,0,0,1
1,12,2022-09-13,2023-06-26,41,0,4,1,286,0,0,0,1,0,0,0,0,0,0,1
0,12,2022-10-08,2023-06-22,49,1,1,2,257,0,1,0,0,0,0,0,0,0,0,1
2,15,2022-09-21,2023-06-23,28,1,1,1,275,0,0,0,0,0,0,1,0,0,0,1
2,13,2023-03-24,2023-06-23,40,1,3,1,91,0,0,0,0,0,0,0,1,0,0,1
0,12,2022-02-05,2023-06-23,43,0,3,1,503,0,0,0,0,0,1,0,0,0,0,1
1,12,2022-11-05,2023-06-27,42,1,3,1,234,0,0,0,0,0,0,0,0,0,1,1
0,14,2022-10-06,2023-06-22,28,1,4,1,259,0,0,1,0,0,0,0,0,0,0,1
2,14,2022-08-31,2023-06-24,30,0,2,1,297,0,0,0,0,0,0,0,0,1,0,1
1,10,2022-08-17,2023-06-26,33,1,4,1,313,1,0,0,0,0,0,0,0,0,0,1
0,11,2022-05-05,2023-06-26,35,0,1,1,417,0,0,0,0,1,0,0,0,0,0,1
0,10,2022-06-10,2023-06-25,38,1,2,1,380,0,0,0,1,0,0,0,0,0,0,1
0,12,2022-08-11,2023-06-24,49,0,1,2,317,0,1,0,0,0,0,0,0,0,0,1
2,15,2022-11-27,2023-06-28,39,0,3,1,213,0,0,0,0,0,0,1,0,0,0,1
1,13,2022-11-17,2023-06-27,46,0,4,1,222,0,0,0,0,0,0,0,1,0,0,1
0,10,2022-12-15,2023-06-23,47,0,1,1,190,0,0,0,0,0,1,0,0,0,0,1
0,15,2022-12-12,2023-06-25,30,0,1,1,195,0,0,0,0,0,0,0,0,0,1,1
1,14,2022-11-23,2023-06-27,33,0,2,1,216,0,0,1,0,0,0,0,0,0,0,1
2,11,2022-12-25,2023-06-24,47,1,3,1,181,0,0,0,0,0,0,0,0,1,0,1
2,11,2023-11-03,2023-06-27,27,1,1,1,-129,1,0,0,0,0,0,0,0,0,0,1
0,14,2022-11-18,2023-06-27,28,1,2,1,221,0,0,0,0,1,0,0,0,0,0,1
1,15,2022-08-19,2023-06-25,47,1,3,1,310,0,0,0,1,0,0,0,0,0,0,1
2,14,2022-09-27,2023-06-24,30,1,1,1,270,0,1,0,0,0,0,0,0,0,0,1
0,13,2022-10-19,2023-06-28,47,0,3,1,252,0,0,0,0,0,0,1,0,0,0,1
2,10,2022-12-21,2023-06-26,51,0,4,2,187,0,0,0,0,0,0,0,1,0,0,1
1,15,2022-10-27,2023-06-25,39,1,3,1,241,0,0,0,0,0,1,0,0,0,0,1
0,10,2022-10-23,2023-06-24,45,1,2,1,244,0,0,0,0,0,0,0,0,0,1,1
1,15,2022-04-19,2023-06-25,31,1,1,1,432,0,0,1,0,0,0,0,0,0,0,1
2,11,2022-05-04,2023-06-26,29,1,1,1,418,0,0,0,0,0,0,0,0,1,0,1
0,11,2022-11-03,2023-06-26,42,0,2,1,235,1,0,0,0,0,0,0,0,0,0,1
2,14,2022-05-25,2023-06-25,49,1,2,2,396,0,0,0,0,1,0,0,0,0,0,1
1,13,2022-04-16,2023-06-26,42,1,1,1,436,0,0,0,1,0,0,0,0,0,0,1
0,13,2022-07-04,2023-06-24,29,1,3,1,355,0,1,0,0,0,0,0,0,0,0,1
2,10,2022-11-12,2023-06-28,29,1,2,1,228,0,0,0,0,0,0,1,0,0,0,1
1,12,2023-01-20,2023-06-26,49,1,2,2,157,0,0,0,0,0,0,0,1,0,0,1
0,14,2023-12-01,2023-06-25,32,1,1,1,-159,0,0,0,0,0,1,0,0,0,0,1
1,11,2022-04-29,2023-06-24,35,0,2,1,421,0,0,0,0,0,0,0,0,0,1,1
0,12,2022-04-27,2023-06-26,39,0,3,1,425,0,0,1,0,0,0,0,0,0,0,1
2,15,2022-03-06,2023-06-25,40,1,3,1,476,0,0,0,0,0,0,0,0,1,0,1
2,14,2022-04-23,2023-06-25,39,0,2,1,428,1,0,0,0,0,0,0,0,0,0,1
0,10,2022-04-22,2023-06-26,47,0,1,1,430,0,0,0,0,1,0,0,0,0,0,1
1,13,2022-12-04,2023-06-25,37,0,4,1,203,0,0,0,1,0,0,0,0,0,0,1
0,15,2022-05-23,2023-06-26,27,0,3,1,399,0,1,0,0,0,0,0,0,0,0,1
2,13,2022-10-19,2023-06-26,49,0,1,2,250,0,0,0,0,0,0,1,0,0,0,1
1,10,2022-03-12,2023-06-26,30,0,2,1,471,0,0,0,0,0,0,0,1,0,0,1
0,14,2022-09-26,2023-06-25,36,1,1,1,272,0,0,0,0,0,1,0,0,0,0,1
1,15,2022-06-16,2023-06-27,33,1,3,1,376,0,0,0,0,0,0,0,0,0,1,1
0,13,2022-05-16,2023-06-25,30,0,1,1,405,0,0,1,0,0,0,0,0,0,0,1
2,15,2022-05-26,2023-06-26,36,0,2,1,396,0,0,0,0,0,0,0,0,1,0,1
2,13,2022-04-26,2023-06-25,28,0,1,1,425,1,0,0,0,0,0,0,0,0,0,1
0,11,2022-12-05,2023-06-25,47,0,2,1,202,0,0,0,0,1,0,0,0,0,0,1
1,12,2022-01-03,2023-06-25,33,0,4,1,538,0,0,0,1,0,0,0,0,0,0,1
0,13,2022-10-07,2023-06-24,49,0,1,2,260,0,1,0,0,0,0,0,0,0,0,1
2,15,2022-07-16,2023-06-27,44,0,4,1,346,0,0,0,0,0,0,1,0,0,0,1
1,13,2022-02-09,2023-06-26,47,1,4,1,502,0,0,0,0,0,0,0,1,0,0,1
0,11,2022-09-18,2023-06-26,37,0,2,1,281,0,0,0,0,0,1,0,0,0,0,1
1,10,2022-08-07,2023-06-25,46,1,1,1,322,0,0,0,0,0,0,0,0,0,1,1
0,14,2022-06-26,2023-06-27,50,0,3,2,366,0,0,1,0,0,0,0,0,0,0,1
2,11,2022-05-08,2023-06-25,50,1,1,2,413,0,0,0,0,0,0,0,0,1,0,1
2,14,2022-08-19,2023-06-27,37,1,1,1,312,1,0,0,0,0,0,0,0,0,0,1
0,11,2022-08-26,2023-06-24,50,0,3,2,302,0,0,0,0,1,0,0,0,0,0,1
1,13,2022-09-06,2023-06-24,45,0,4,1,291,0,0,0,1,0,0,0,0,0,0,1
0,14,2022-09-27,2023-06-23,45,1,2,1,269,0,1,0,0,0,0,0,0,0,0,1
2,10,2022-10-18,2023-06-27,49,0,1,2,252,0,0,0,0,0,0,1,0,0,0,1
1,14,2022-10-31,2023-06-25,39,0,2,1,237,0,0,0,0,0,0,0,1,0,0,1
0,11,2022-10-13,2023-06-25,45,0,2,1,255,0,0,0,0,0,1,0,0,0,0,1
1,11,2022-04-07,2023-06-27,49,0,4,2,446,0,0,0,0,0,0,0,0,0,1,1
0,12,2022-06-26,2023-06-27,31,0,2,1,366,0,0,1,0,0,0,0,0,0,0,1
2,13,2022-07-31,2023-06-24,42,0,4,1,328,0,0,0,0,0,0,0,0,1,0,1
2,12,2022-07-27,2023-06-24,37,1,3,1,332,1,0,0,0,0,0,0,0,0,0,1
0,12,2022-07-30,2023-06-25,30,1,4,1,330,0,0,0,0,1,0,0,0,0,0,1
1,11,2022-06-08,2023-06-25,40,1,3,1,382,0,0,0,1,0,0,0,0,0,0,1
0,15,2022-09-16,2023-06-24,45,0,3,1,281,0,1,0,0,0,0,0,0,0,0,1
2,15,2023-05-01,2023-06-23,36,0,2,1,53,0,0,0,0,0,0,1,0,0,0,1
1,11,2022-10-12,2023-06-24,41,1,1,1,255,0,0,0,0,0,0,0,1,0,0,1
0,14,2022-11-22,2023-06-26,49,0,1,2,216,0,0,0,0,0,1,0,0,0,0,1
1,15,2022-11-15,2023-06-27,40,1,2,1,224,0,0,0,0,0,0,0,0,0,1,1
0,11,2022-10-28,2023-06-26,36,1,4,1,241,0,0,1,0,0,0,0,0,0,0,1
2,12,2022-08-09,2023-06-24,49,0,4,2,319,0,0,0,0,0,0,0,0,1,0,1
2,13,2022-06-30,2023-06-28,43,0,1,1,363,1,0,0,0,0,0,0,0,0,0,1
0,13,2022-02-09,2023-06-27,50,0,3,2,503,0,0,0,0,1,0,0,0,0,0,1
1,14,2022-08-10,2023-06-24,51,0,4,2,318,0,0,0,1,0,0,0,0,0,0,1
0,15,2022-11-13,2023-06-25,44,1,4,1,224,0,1,0,0,0,0,0,0,0,0,1
2,12,2022-11-15,2023-06-28,27,1,2,1,225,0,0,0,0,0,0,1,0,0,0,1
1,12,2022-11-16,2023-06-25,46,0,3,1,221,0,0,0,0,0,0,0,1,0,0,1
0,12,2022-11-26,2023-06-27,29,1,2,1,213,0,0,0,0,0,1,0,0,0,0,1
0,12,2022-11-26,2023-06-25,47,1,3,1,211,0,0,0,0,0,0,0,0,0,1,1
0,10,2022-12-12,2023-06-26,48,0,3,1,196,0,0,1,0,0,0,0,0,0,0,1
2,12,2023-08-01,2023-06-25,34,0,3,1,-37,0,0,0,0,0,0,0,0,1,0,1
1,15,2022-11-27,2023-06-29,40,0,3,1,214,1,0,0,0,0,0,0,0,0,0,1
0,14,2022-11-10,2023-06-27,48,0,3,1,229,0,0,0,0,1,0,0,0,0,0,1
0,10,2022-09-27,2023-06-26,35,1,3,1,272,0,0,0,1,0,0,0,0,0,0,1
1,12,2022-09-30,2023-06-24,51,0,3,2,267,0,1,0,0,0,0,0,0,0,0,1
2,10,2022-04-11,2023-06-27,39,1,4,1,442,0,0,0,0,0,0,1,0,0,0,1
2,13,2022-04-11,2023-06-27,29,1,3,1,442,0,0,0,0,0,0,0,1,0,0,1
0,12,2022-10-30,2023-06-26,51,1,1,2,239,0,0,0,0,0,1,0,0,0,0,1
1,11,2022-10-29,2023-06-24,43,1,3,1,238,0,0,0,0,0,0,0,0,0,1,1
2,11,2022-08-30,2023-06-27,28,1,3,1,301,0,0,1,0,0,0,0,0,0,0,1
0,15,2022-07-07,2023-06-26,50,0,4,2,354,0,0,0,0,0,0,0,0,1,0,1
2,14,2022-05-26,2023-06-27,44,0,1,1,397,1,0,0,0,0,0,0,0,0,0,1
1,11,2022-05-17,2023-06-25,50,1,1,2,404,0,0,0,0,1,0,0,0,0,0,1
0,11,2022-08-05,2023-06-26,39,0,3,1,325,0,0,0,1,0,0,0,0,0,0,1
1,13,2022-07-07,2023-06-25,46,0,2,1,353,0,1,0,0,0,0,0,0,0,0,1
2,15,2022-07-17,2023-06-28,48,1,3,1,346,0,0,0,0,0,0,1,0,0,0,1
0,15,2022-12-23,2023-06-26,38,1,4,1,185,0,0,0,0,0,0,0,1,0,0,1
2,13,2022-06-27,2023-06-26,38,1,3,1,364,0,0,0,0,0,1,0,0,0,0,1
1,13,2022-05-31,2023-06-27,47,1,1,1,392,0,0,0,0,0,0,0,0,0,1,1
0,12,2022-02-06,2023-06-26,37,1,1,1,505,0,0,1,0,0,0,0,0,0,0,1
2,11,2022-05-25,2023-06-27,33,1,1,1,398,0,0,0,0,0,0,0,0,1,0,1
1,15,2022-04-26,2023-06-26,28,1,3,1,426,1,0,0,0,0,0,0,0,0,0,1
0,13,2022-04-20,2023-06-26,47,1,4,1,432,0,0,0,0,1,0,0,0,0,0,1
1,11,2022-03-05,2023-06-25,38,0,3,1,477,0,0,0,1,0,0,0,0,0,0,1
0,12,2022-07-07,2023-06-27,27,1,4,1,355,0,1,0,0,0,0,0,0,0,0,1
2,13,2022-09-15,2023-06-26,34,1,3,1,284,0,0,0,0,0,0,1,0,0,0,1
2,14,2022-09-16,2023-06-27,42,0,3,1,284,0,0,0,0,0,0,0,1,0,0,1
0,14,2022-09-08,2023-06-26,28,1,1,1,291,0,0,0,0,0,1,0,0,0,0,1
1,15,2022-06-25,2023-06-27,30,1,1,1,367,0,0,0,0,0,0,0,0,0,1,1
0,11,2022-05-30,2023-06-26,38,0,3,1,392,0,0,1,0,0,0,0,0,0,0,1
2,15,2022-05-21,2023-06-25,45,0,2,1,400,0,0,0,0,0,0,0,0,1,0,1
1,12,2022-05-20,2023-06-27,48,0,4,1,403,1,0,0,0,0,0,0,0,0,0,1
0,13,2022-05-20,2023-06-26,46,0,4,1,402,0,0,0,0,1,0,0,0,0,0,1
1,12,2022-05-30,2023-06-26,34,1,2,1,392,0,0,0,1,0,0,0,0,0,0,1
0,13,2022-06-17,2023-06-25,46,1,1,1,373,0,1,0,0,0,0,0,0,0,0,1
2,11,2022-07-16,2023-06-28,41,0,3,1,347,0,0,0,0,0,0,1,0,0,0,1
2,15,2022-05-08,2023-06-26,28,1,3,1,414,0,0,0,0,0,0,0,1,0,0,1
0,10,2022-07-17,2023-06-26,27,0,3,1,344,0,0,0,0,0,1,0,0,0,0,1
1,13,2022-04-07,2023-06-25,27,0,4,1,444,0,0,0,0,0,0,0,0,0,1,1
0,12,2022-07-13,2023-06-26,28,0,2,1,348,0,0,1,0,0,0,0,0,0,0,1
2,15,2022-07-25,2023-06-24,46,1,3,1,334,0,0,0,0,0,0,0,0,1,0,1
1,10,2022-09-08,2023-06-27,51,1,3,2,292,1,0,0,0,0,0,0,0,0,0,1
0,11,2022-05-08,2023-06-25,32,0,4,1,413,0,0,0,0,1,0,0,0,0,0,1
1,10,2022-08-17,2023-06-26,44,1,2,1,313,0,0,0,1,0,0,0,0,0,0,1
0,11,2022-08-09,2023-06-27,44,0,1,1,322,0,1,0,0,0,0,0,0,0,0,1
2,13,2022-10-16,2023-06-28,34,0,4,1,255,0,0,0,0,0,0,1,0,0,0,1
2,13,2022-10-15,2023-06-25,29,0,1,1,253,0,0,0,0,0,0,0,1,0,0,1
0,12,2022-04-09,2023-06-25,47,1,4,1,442,0,0,0,0,0,1,0,0,0,0,1
1,14,2022-08-20,2023-06-26,41,1,1,1,310,0,0,0,0,0,0,0,0,0,1,1
0,10,2022-10-08,2023-06-26,36,0,3,1,261,0,0,1,0,0,0,0,0,0,0,1
2,12,2022-02-08,2023-06-25,28,0,1,1,502,0,0,0,0,0,0,0,0,1,0,1
1,10,2022-01-08,2023-06-24,27,0,2,1,532,1,0,0,0,0,0,0,0,0,0,1
